"ID_ARTICLE","ID_SAMPLE","id_effect","Authors","PublicationYear","PublicationType","Country","GGGI","GeoArea","SchoolLevel","GradeM","MeanAge_months","TaskName","Standardized","Computerized","IndexName","ScoreType","ScoreSign","MathContent","N","male_N","fem_N","male_mean","male_sd","fem_mean","fem_sd","eff","vi","vi_0","lb","ub"
824,"824_1",1,"A. Bahar, 2013",2013,0,"United States",0.739076923,"NorthAmerica","2.Primary",3,NA,"DISCOVER assessment",1,"0","Accuracy","Raw",1,"Computation",67,36,31,12.097,8.409,11.355,4.223,0.109039553984126,0.0601245708337057,0.0600358422939068,-0.380387925127231,0.598467033095484
824,"824_1",2,"A. Bahar, 2013",2013,0,"United States",0.739076923,"NorthAmerica","2.Primary",3,NA,"DISCOVER assessment",1,"0","Accuracy","Raw",1,"Computation",67,36,31,8.306,7.649,9.548,8.667,-0.152679416625225,0.0602098050122726,0.0600358422939068,-0.642453685531789,0.337094852281339
3043,"3043_1",3,"A. S. Hsu et al., 2019",2019,1,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"ECLS-K - Math achievement for academic assessment in eight grade",0,"0","Accuracy","t-score",1,"BroadMathematics",4513,2288,2225,53.84,9.72,52.45,9.15,0.147194601862936,0.000888901565946245,0.000886501139310128,0.0887436729524161,0.205645530773456
3043,"3043_2",4,"A. S. Hsu et al., 2019",2019,1,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"ECLS-K - Math achievement for academic assessment in eight grade",0,"0","Accuracy","t-score",1,"BroadMathematics",1884,957,927,51.45,9.83,51.2,9.17,0.0262853936296311,0.00212386409666858,0.00212368073097902,-0.0640983965520981,0.11666918381136
3043,"3043_3",5,"A. S. Hsu et al., 2019",2019,1,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"ECLS-K - Math achievement for academic assessment in eight grade",0,"0","Accuracy","t-score",1,"BroadMathematics",450,213,237,52.09,8.6,49.08,8.56,0.350858713751719,0.00905102478235772,0.0089142449634516,0.163891004144472,0.537826423358966
2246,"2246_1",6,"Abdelkarim et al., 2017",2017,1,"Germany",0.777615384615385,"CentralEurope","2.Primary",2,84,"The cognitive learning ability test",1,"0","Accuracy","Raw",1,"BroadMathematics",197,101,96,7.69,0.45,7.26,0.42,0.987047274278281,0.0227904037749664,0.0203176567656766,0.689332542235971,1.28476200632059
3025,"3025_1",7,"Abreu-Mendoza et al., 2019",2019,1,"Mexico",0.709461538461538,"SouthAmerica","4.High",9,191,"Wide Range Achievement Test (WRAT) Math Computation subtest",1,"0","Accuracy","Raw",1,"Computation",106,37,69,31.43,6.41,29.02,6.25,0.382185157044914,0.0422087688307128,0.0415197806502154,-0.025134945394765,0.789505259484593
356,"356_1",8,"Adams, 2011",2011,0,"United States",0.739076923,"NorthAmerica","3.Middle",6,NA,"The Georgia Criterion-Referenced Competency Test",1,"0","Accuracy","Raw",1,"NationalTest",112,50,62,783.94,9.36,787.32,7.05,-0.41420700853151,0.0368949583559066,0.0361290322580645,-0.794790103083881,-0.0336239139791395
356,"356_1",9,"Adams, 2011",2011,0,"United States",0.739076923,"NorthAmerica","3.Middle",7,NA,"The Georgia Criterion-Referenced Competency Test",1,"0","Accuracy","Raw",1,"NationalTest",112,50,62,813.74,18.74,821.61,18.04,-0.428763300888095,0.0369497374731916,0.0361290322580645,-0.809628822555402,-0.047897779220788
3325,"3325_1",10,"Adelantado-Renau et al., 2020",2020,1,"Spain",0.756461538461539,"CentralEurope","3.Middle",8,167,"Numeric ability of the Science Research Associates Test of Educational Abilities",1,"0","Accuracy","Raw",1,"BroadMathematics",244,132,112,14.9,4.6,12.4,4.4,0.554401682119348,0.0171341675804289,0.016504329004329,0.296568336020303,0.812235028218394
